origin_id_pg,destination_id,destination_name,rank_diff,cost_diff,length_diff
50,4,Prince George,0,-0.03,-336.61
50,5,Quesnel,0,-0.02,-495.09
50,6,Williams Lake,0,-0.02,-613.49
50,7,McMahon Gas Plant,0,-0.02,31.47
50,8,Kamloops,0,-0.02,-638.19
50,9,Castlegar,0,-1.62,-54354.45
50,10,Elkford,0,-0.02,-590.11
51,1,Terrace,0,0.07,294.55
51,2,Vancouver,0,0.08,-337.72
51,3,Mackenzie,0,0.08,211.90
51,4,Prince George,0,0.07,-26.59
51,5,Quesnel,0,0.08,-185.07
51,6,Williams Lake,0,0.07,-303.46
51,7,McMahon Gas Plant,0,0.07,341.48
51,8,Kamloops,0,0.07,-328.18
51,9,Castlegar,0,-1.52,-54044.43
51,10,Elkford,0,0.07,-280.09
52,1,Terrace,0,0.04,196.39
52,2,Vancouver,0,0.05,-435.88
52,3,Mackenzie,0,0.05,113.74
52,4,Prince George,0,0.04,-124.76
52,5,Quesnel,0,0.05,-283.24
52,6,Williams Lake,0,0.04,-401.63
52,7,McMahon Gas Plant,0,0.04,243.32
52,8,Kamloops,0,0.04,-426.35
52,9,Castlegar,0,-1.55,-54142.59
52,10,Elkford,0,0.04,-378.25
53,1,Terrace,0,-0.06,-151.18
53,2,Vancouver,0,-0.06,-783.45
53,3,Mackenzie,0,-0.07,-233.83
53,4,Prince George,0,-0.06,-472.33
53,5,Quesnel,0,-0.06,-630.80
53,6,Williams Lake,0,-0.06,-749.20
53,7,McMahon Gas Plant,0,-0.06,-104.25
53,8,Kamloops,0,-0.06,-773.92
53,9,Castlegar,0,-1.67,-54490.16
53,10,Elkford,0,-0.06,-725.82
54,1,Terrace,0,-0.14,-415.40
54,2,Vancouver,0,-0.14,-1047.67
54,3,Mackenzie,0,-0.15,-498.05
54,4,Prince George,0,-0.14,-736.55
54,5,Quesnel,0,-0.14,-895.03
54,6,Williams Lake,0,-0.15,-1013.42
54,7,McMahon Gas Plant,0,-0.15,-368.47
54,8,Kamloops,0,-0.14,-1038.14
54,9,Castlegar,0,-1.75,-54754.39
54,10,Elkford,0,-0.14,-990.04
55,1,Terrace,0,-0.09,-258.17
55,2,Vancouver,0,-0.10,-890.44
55,3,Mackenzie,0,-0.10,-340.82
55,4,Prince George,0,-0.10,-579.32
55,5,Quesnel,0,-0.10,-737.80
55,6,Williams Lake,0,-0.09,-856.19
55,7,McMahon Gas Plant,0,-0.10,-211.24
55,8,Kamloops,0,-0.09,-880.90
55,9,Castlegar,0,-1.70,-54597.16
55,10,Elkford,0,-0.09,-832.82
57,1,Terrace,0,-0.03,-45.63
57,2,Vancouver,0,-0.02,-677.90
57,3,Mackenzie,0,-0.03,-128.28
57,4,Prince George,0,-0.03,-366.78
57,5,Quesnel,0,-0.03,-525.26
57,6,Williams Lake,0,-0.03,-643.65
57,7,McMahon Gas Plant,0,-0.03,1.30
57,8,Kamloops,0,-0.03,-668.37
57,9,Castlegar,0,-1.63,-54384.62
57,10,Elkford,0,-0.03,-620.27
58,1,Terrace,0,0.12,443.27
58,2,Vancouver,0,0.13,-189.00
58,3,Mackenzie,0,0.12,360.62
58,4,Prince George,0,0.12,122.12
58,5,Quesnel,0,0.13,-36.36
58,6,Williams Lake,0,0.12,-154.75
58,7,McMahon Gas Plant,0,0.12,490.20
58,8,Kamloops,0,0.12,-179.47
58,9,Castlegar,0,-1.48,-53895.72
58,10,Elkford,0,0.12,-131.38
59,1,Terrace,0,-0.09,-258.17
59,2,Vancouver,0,-0.10,-890.44
59,3,Mackenzie,0,-0.10,-340.82
59,4,Prince George,0,-0.10,-579.32
59,5,Quesnel,0,-0.10,-737.80
59,6,Williams Lake,0,-0.09,-856.19
59,7,McMahon Gas Plant,0,-0.10,-211.24
59,8,Kamloops,0,-0.09,-880.90
59,9,Castlegar,0,-1.70,-54597.16
59,10,Elkford,0,-0.09,-832.82
60,1,Terrace,0,-0.10,-279.76
60,2,Vancouver,0,-0.10,-912.02
60,3,Mackenzie,0,-0.10,-362.40
60,4,Prince George,0,-0.11,-600.90
60,5,Quesnel,0,-0.11,-759.38
60,6,Williams Lake,0,-0.10,-877.78
60,7,McMahon Gas Plant,0,-0.10,-232.82
60,8,Kamloops,0,-0.10,-902.48
60,9,Castlegar,0,-1.71,-54618.74
60,10,Elkford,0,-0.10,-854.40
61,1,Terrace,0,-0.12,-322.62
61,2,Vancouver,0,-0.11,-954.89
61,3,Mackenzie,0,-0.12,-405.27
61,4,Prince George,0,-0.11,-643.77
61,5,Quesnel,0,-0.11,-802.26
61,6,Williams Lake,0,-0.12,-920.64
61,7,McMahon Gas Plant,0,-0.12,-275.69
61,8,Kamloops,0,-0.12,-945.36
61,9,Castlegar,0,-1.72,-54661.61
61,10,Elkford,0,-0.11,-897.26
62,1,Terrace,0,-0.12,-322.62
62,2,Vancouver,0,-0.11,-954.89
62,3,Mackenzie,0,-0.12,-405.27
62,4,Prince George,0,-0.11,-643.77
62,5,Quesnel,0,-0.11,-802.26
62,6,Williams Lake,0,-0.12,-920.64
62,7,McMahon Gas Plant,0,-0.12,-275.69
62,8,Kamloops,0,-0.12,-945.36
62,9,Castlegar,0,-1.72,-54661.61
62,10,Elkford,0,-0.11,-897.26
56,1,Terrace,0,-0.01,2.76
56,2,Vancouver,0,-0.02,-629.51
56,3,Mackenzie,0,-0.02,-79.90
56,4,Prince George,0,-0.01,-318.39
56,5,Quesnel,0,-0.01,-476.87
56,6,Williams Lake,0,-0.01,-595.26
56,7,McMahon Gas Plant,0,-0.02,49.68
56,8,Kamloops,0,-0.01,-619.98
56,9,Castlegar,0,-1.62,-54336.23
56,10,Elkford,0,-0.01,-571.89
63,1,Terrace,0,0.02,121.02
63,2,Vancouver,0,0.03,-511.25
63,3,Mackenzie,0,0.03,38.37
63,4,Prince George,0,0.02,-200.12
63,5,Quesnel,0,0.02,-358.61
63,6,Williams Lake,0,0.02,-476.99
63,7,McMahon Gas Plant,0,0.02,167.95
63,8,Kamloops,0,0.02,-501.71
63,9,Castlegar,0,-1.57,-54217.97
63,10,Elkford,0,0.02,-453.62
64,1,Terrace,0,0.04,182.39
64,2,Vancouver,0,0.05,-449.88
64,3,Mackenzie,0,0.05,99.74
64,4,Prince George,0,0.04,-138.75
64,5,Quesnel,0,0.04,-297.24
64,6,Williams Lake,0,0.04,-415.62
64,7,McMahon Gas Plant,0,0.04,229.32
64,8,Kamloops,0,0.04,-440.34
64,9,Castlegar,0,-1.56,-54156.60
64,10,Elkford,0,0.04,-392.26
